,1
rotated_best90.csv,526.1309252929688
rotated100.csv,523.5405926513672
rotated_best20.csv,526.3437899780273
pattern13a.csv,524.9951234436035
pattern6.csv,522.6006129455567
pattern13.csv,521.9926286315917
rotated_best30.csv,524.8107632446289
rotated60.csv,522.8598934936523
rotated_best60.csv,524.5650164794922
rotated_best80.csv,526.6153344726563
pattern3.csv,517.9808811950684
rotated40.csv,523.9631140136719
pattern5.csv,517.1153540039063
rotated_best40.csv,525.6600833129883
rotated20.csv,523.7189378356934
rotated50.csv,523.4696823120117
rotated_best100.csv,526.4201138305664
pattern4.csv,522.0493702697754
rotated_best70.csv,525.954351196289
turbine_loc_test.csv,498.15395599365235
rotated10.csv,524.1589361572265
pattern2.csv,521.386081237793
pattern7.csv,524.5343733215332
rotated70.csv,523.2579537963867
rotated_best10.csv,526.5626028442383
rotated0.csv,524.398801574707
rotated_best50.csv,525.607084350586
wake2.csv,523.514861755371
rotated80.csv,523.9002905273437
pattern9.csv,524.6586167907715
manual1.csv,523.4333583068848
rotated30.csv,523.4725561523437
pattern10.csv,524.3430958557129
kmeans.csv,505.53885681152343
rotated_best0.csv,526.1516770935059
wake1.csv,525.1260168457031
pattern8.csv,524.4685423278809
pattern11.csv,524.121442565918
wake3.csv,524.398801574707
rotated90.csv,523.8647351074219
manual2.csv,524.7434619140626
pattern12a.csv,524.7320668029785
pattern12.csv,526.1516770935059
pattern1.csv,516.8897575378418
